evid,origin_time_mftm,Mw,M_rel,cc_max,template_origin_time,template_evid,origin_time_hypo,lat,lon,depth,rel_lat,rel_lon,rel_depth,lat_kma,lon_kma,depth_kma,M_kma
H0001,15:17.8,,0.39,0.465,57:51.0,H1198,,,,,,,,,,,
H0002,31:02.7,,0.53,0.5253,08:01.0,H0917,,,,,,,,,,,
H0003,31:27.9,1.09,,0.8682,34:27.0,H0784,31:27.6,34.663,126.396,20.37,-112.3,-5.9,43.5,,,,
H0004,13:18.9,1.32,,0.8621,40:50.0,H1218,13:18.6,34.6638,126.3986,20.68,-107.7,-9.9,32.6,,,,
H0005,19:11.5,,0.73,0.7754,34:27.0,H0784,,,,,,,,,,,
H0006,31:22.4,,0.5,0.5534,25:38.0,H0031,,,,,,,,,,,
H0007,07:07.7,,0.49,0.6379,08:01.0,H0917,,,,,,,,,,,
H0008,11:50.5,,0.38,0.5275,28:54.0,H0888,,,,,,,,,,,
H0009,13:35.4,,1.02,0.869,08:01.0,H0917,13:35.9,34.6593,126.3976,20.19,,,,,,,
H0010,14:11.8,,0.36,0.4932,34:27.0,H0784,,,,,,,,,,,
H0011,22:13.2,1.2,,0.875,25:38.0,H0031,22:13.5,34.6603,126.399,20.4,-78.3,-10.5,34.9,,,,
H0012,38:10.5,,0.67,0.6849,16:19.0,H0669,,,,,,,,,,,
H0013,43:41.9,,0.52,0.5599,32:27.0,H0437,,,,,,,,,,,
H0014,22:41.9,,0.49,0.6447,57:51.0,H1198,,,,,,,,,,,
H0015,23:21.5,,0.35,0.4898,34:01.0,H0021,,,,,,,,,,,
H0016,51:52.6,,1.06,0.8708,28:54.0,H0888,51:52.7,34.6633,126.3948,21.54,-88.9,-24.4,74.8,,,,
H0017,13:15.5,,0.53,0.513,17:39.0,H0042,,,,,,,,,,,
H0018,19:25.3,,0.63,0.6735,08:01.0,H0917,,,,,,,,,,,
H0019,24:10.4,,0.4,0.5054,17:39.0,H0042,,,,,,,,,,,
H0020,11:17.4,,0.59,0.6443,57:51.0,H1198,,,,,,,,,,,
H0021,34:01.0,1.5,,1,34:01.0,H0021,34:01.2,34.6621,126.3988,20.62,-49,8.9,9.9,34.66,126.4,20,1.8
H0022,35:26.1,,0.63,0.7356,34:01.0,H0021,,,,,,,,,,,
H0023,40:49.6,,0.95,0.8532,25:38.0,H0031,,,,,,,,,,,
H0024,41:25.6,,0.67,0.7516,25:38.0,H0031,,,,,,,,,,,
H0025,49:54.0,,0.56,0.5091,17:13.0,H0117,,,,,,,,,,,
H0026,28:04.4,,0.52,0.636,08:01.0,H0917,,,,,,,,,,,
H0027,33:41.8,,0.57,0.5848,47:57.0,H1047,,,,,,,,,,,
H0028,21:24.6,,0.45,0.58,14:15.0,H0066,,,,,,,,,,,
H0029,42:37.0,,0.74,0.7587,16:19.0,H0669,,,,,,,,,,,
H0030,02:28.6,,0.69,0.6936,40:50.0,H1218,,,,,,,,,,,
H0031,25:38.0,2.11,,1,25:38.0,H0031,25:38.2,34.6623,126.3981,20.93,-61.8,-5,37.9,34.66,126.4,21,1.6
H0032,48:30.6,,0.54,0.6838,05:56.0,H0703,,,,,,,,,,,
H0033,48:53.1,,0.32,0.4972,05:56.0,H0703,,,,,,,,,,,
H0034,56:32.7,,0.29,0.4998,24:20.0,H1126,,,,,,,,,,,
H0035,08:29.2,,0.36,0.6101,17:39.0,H0042,,,,,,,,,,,
H0036,14:56.6,,0.46,0.5984,40:50.0,H1218,,,,,,,,,,,
H0037,23:18.1,,0.43,0.4816,37:50.0,H0909,,,,,,,,,,,
H0038,31:33.7,,0.64,0.7691,34:27.0,H0784,,,,,,,,,,,
H0039,42:13.3,,0.34,0.5258,35:01.0,H0826,,,,,,,,,,,
