evid,origin time (mftm),Mw,relative magnitude,cross correlation coefficient,template origin time,template evid,origin time (hypoellipse),latitude (deg),longitude (deg),depth (km),relative latitude (m),relative longitude (m),relative depth (m),latitude kma (deg),longitude kma (deg),depth kma (km)
H0001,2020-04-25 12:15:17.76,,0.39,0.465,2020-05-06 19:57:51.00,H1198,,,,,,,,,,
H0002,2020-04-25 12:31:02.75,,0.53,0.5253,2020-05-04 07:08:01.00,H0917,,,,,,,,,,
H0003,2020-04-25 12:31:27.88,1.09,,0.8682,2020-05-03 17:34:27.00,H0784,2020-04-25 12:31:27.59,34.663,126.396,20.37,-112.3,-5.9,43.5,,,
H0004,2020-04-25 13:13:18.92,1.32,,0.8621,2020-05-07 07:40:50.00,H1218,2020-04-25 13:13:18.59,34.6638,126.3986,20.68,-107.7,-9.9,32.6,,,
H0005,2020-04-25 13:19:11.52,,0.73,0.7754,2020-05-03 17:34:27.00,H0784,,,,,,,,,,
H0006,2020-04-25 13:31:22.39,,0.5,0.5534,2020-04-26 18:25:38.00,H0031,,,,,,,,,,
H0007,2020-04-25 14:07:07.66,,0.49,0.6379,2020-05-04 07:08:01.00,H0917,,,,,,,,,,
H0008,2020-04-25 15:11:50.47,,0.38,0.5275,2020-05-04 01:28:54.00,H0888,,,,,,,,,,
H0009,2020-04-25 17:13:35.45,,1.02,0.869,2020-05-04 07:08:01.00,H0917,2020-04-25 17:13:35.89,34.6593,126.3976,20.19,,,,,,
H0010,2020-04-25 17:14:11.77,,0.36,0.4932,2020-05-03 17:34:27.00,H0784,,,,,,,,,,
H0011,2020-04-25 17:22:13.25,1.2,,0.875,2020-04-26 18:25:38.00,H0031,2020-04-25 17:22:13.54,34.6603,126.399,20.4,-78.3,-10.5,34.9,,,
H0012,2020-04-25 18:38:10.55,,0.67,0.6849,2020-05-03 13:16:19.00,H0669,,,,,,,,,,
H0013,2020-04-25 18:43:41.94,,0.52,0.5599,2020-04-30 21:32:27.00,H0437,,,,,,,,,,
H0014,2020-04-25 19:22:41.86,,0.49,0.6447,2020-05-06 19:57:51.00,H1198,,,,,,,,,,
H0015,2020-04-25 19:23:21.55,,0.35,0.4898,2020-04-26 03:34:01.00,H0021,,,,,,,,,,
H0016,2020-04-26 00:51:52.59,,1.06,0.8708,2020-05-04 01:28:54.00,H0888,2020-04-26 00:51:52.66,34.6633,126.3948,21.54,-88.9,-24.4,74.8,,,
H0017,2020-04-26 01:13:15.46,,0.53,0.513,2020-04-26 20:17:39.00,H0042,,,,,,,,,,
H0018,2020-04-26 01:19:25.32,,0.63,0.6735,2020-05-04 07:08:01.00,H0917,,,,,,,,,,
H0019,2020-04-26 01:24:10.45,,0.4,0.5054,2020-04-26 20:17:39.00,H0042,,,,,,,,,,
